product-id,name,price,quantity,category,description,production-date,expiration-date,rating,status
1,Горячий шоколад,7061,834,Напитки,Помогает улучшить работу мозга и повысить концентрацию внимания.,2012-05-04,2020-02-11,2.02,Awaiting Payment
2,Каша из дробленной манной крупы,6881,741,Бакалея,Служит основой для создания множества кулинарных шедевров.,2001-11-12,2014-03-02,3.95,Backorder
3,Coca-Cola Zero,5417,926,Напитки,Отличается высокими показателями усвояемости организмом.,2009-07-04,2021-05-02,4.59,Backorder
4,Грейпфрут,3765,550,Фрукты,Помогает улучшить когнитивные функции и память.,1992-02-21,1998-01-03,2.42,Delivered
5,Освежитель воздуха,4092,485,Товары для дома,"Отличается высоким содержанием апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2018-02-04,2023-04-27,4.28,Awaiting Review
6,Обуховская,6768,647,Напитки,Подходит для использования в диетических программах для похудения.,2001-11-15,2006-05-22,0.31,Pending
7,Черешня,7496,691,Фрукты,"Отличается низким содержанием натрия, что делает его безопасным для гипертоников.",2007-01-05,2015-01-17,3.74,Sold
8,Грудинка копченая,8400,648,Мясо,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2016-01-06,2027-06-15,2.11,Refunded
9,Фейхоа,6100,741,Фрукты,"Отличается высоким содержанием кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2004-04-02,2029-10-05,2.26,On Backorder
10,Пакеты для рыбалки,8496,335,Товары для дома,Помогает поддерживать нормальный уровень холестерина в крови.,2004-01-16,2016-07-01,3.19,Refunded
11,Горчица зерновая,6410,310,Бакалея,"Отличается высоким содержанием хрома, необходимого для регуляции уровня сахара в крови.",2005-04-20,2007-11-01,1.93,Cancelled
12,Айран,982,993,Напитки,"Отличается высоким содержанием хлорогеновых кислот, веществ, способствующих снижению веса и контролю уровня сахара в крови.",1992-03-02,2018-02-17,3.67,Backorder
13,Адыгейский сыр,4146,930,Молочные продукты,"Отличается высоким содержанием фтора, необходимого для здоровья зубов и костей.",1992-01-05,2019-01-05,2.84,Pending
14,Цветная капуста,6615,841,Овощи,Помогает поддерживать нормальный уровень pH в организме.,2004-03-03,2009-07-10,0.64,Temporarily Unavailable
15,Новотерская,4468,589,Напитки,"Может использоваться как основа для приготовления домашних йогуртов, сыров и других молочных продуктов.",2016-08-14,2019-02-13,0.13,Backorder
16,Шпинат,7667,720,Овощи,"Помогает поддерживать нормальный уровень мелатонина, гормона сна.",2001-02-14,2006-10-01,3.71,Awaiting Payment
17,Мешки для мусора,3141,403,Товары для дома,Отличается способностью повышать общий тонус и работоспособность.,2010-05-14,2018-04-15,4.43,Temporarily Unavailable
18,Волгодонская,9953,612,Напитки,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2012-11-10,2027-06-03,4.3,Backorder
19,Волгодонская,5179,668,Напитки,"Отличается широким ассортиментом вкусов и форматов, удовлетворяя потребности разных категорий потребителей.",1999-02-02,2007-02-08,1.42,Awaiting Payment
20,Голландский сыр,326,631,Молочные продукты,"Отличается высоким содержанием ненасыщенных жирных кислот, полезных для сердца.",1993-03-02,2019-02-01,1.33,Delivered
21,Фахитас с мясом,9974,159,Мясо,"Отличается высоким содержанием астаксантина, мощного антиоксиданта, полезного для кожи и суставов.",2003-01-12,2027-08-01,1.94,On Backorder
22,Сок апельсиновый,3198,540,Напитки,"Отличается широким ассортиментом вкусов и форматов, удовлетворяя потребности разных категорий потребителей.",2002-03-26,2021-03-01,2.54,Backorder
23,Кокос,549,952,Фрукты,"Отличается высоким содержанием пробиотиков, улучшающих микрофлору кишечника.",2022-02-02,2024-04-01,3.51,Backorder
24,Пакеты для походов,9217,164,Товары для дома,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",1995-12-13,2013-01-08,2.93,Pending
25,Мандарин,4364,690,Фрукты,"Отличается низким содержанием лактозы, что делает его доступным для людей с ее непереносимостью.",2011-06-06,2025-02-04,3.82,Refunded
26,Пакеты для Дня Земли,3067,26,Товары для дома,Подходит для использования в специализированных диетах и лечебных программах.,2016-05-09,2028-06-03,0.3,Returned
27,Каша из дробленной ржаной крупы,9390,965,Бакалея,Отвечает всем современным стандартам качества и безопасности.,2017-09-17,2019-04-04,4.95,Delivered
28,Оленина,6224,110,Мясо,Отличается способностью повышать общий тонус и работоспособность.,2006-01-20,2027-01-02,4.97,Out of Stock
29,Сибирская,9296,165,Напитки,Отличается высокими показателями усвояемости организмом.,1992-06-01,2028-04-09,0.24,Sold
30,Пакеты для хранения одежды,5786,291,Товары для дома,Отличается хорошим сочетанием с различными специями и приправами.,2001-04-01,2003-08-09,2.06,Pending
