product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
1,Горячий шоколад,7061.0,834,Напитки,Помогает улучшить работу мозга и повысить концентрацию внимания.,2012-05-04,2020-02-11,2.02,Awaiting Payment
1,Горячий шоколад,7061.0,834,Напитки,Помогает улучшить работу мозга и повысить концентрацию внимания.,2012-05-04,2020-02-11,2.02,Awaiting Payment
2,Каша из дробленной манной крупы,6881.0,741,Бакалея,Служит основой для создания множества кулинарных шедевров.,2001-11-12,2014-03-02,3.95,Backorder
2,Каша из дробленной манной крупы,6881.0,741,Бакалея,Служит основой для создания множества кулинарных шедевров.,2001-11-12,2014-03-02,3.95,Backorder
3,Coca-Cola Zero,5417.0,926,Напитки,Отличается высокими показателями усвояемости организмом.,2009-07-04,2021-05-02,4.59,Backorder
3,Coca-Cola Zero,5417.0,926,Напитки,Отличается высокими показателями усвояемости организмом.,2009-07-04,2021-05-02,4.59,Backorder
4,Грейпфрут,3765.0,550,Фрукты,Помогает улучшить когнитивные функции и память.,1992-02-21,1998-01-03,2.42,Delivered
4,Грейпфрут,3765.0,550,Фрукты,Помогает улучшить когнитивные функции и память.,1992-02-21,1998-01-03,2.42,Delivered
5,Освежитель воздуха,4092.0,485,Товары для дома,"Отличается высоким содержанием апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2018-02-04,2023-04-27,4.28,Awaiting Review
5,Освежитель воздуха,4092.0,485,Товары для дома,"Отличается высоким содержанием апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2018-02-04,2023-04-27,4.28,Awaiting Review
6,Обуховская,6768.0,647,Напитки,Подходит для использования в диетических программах для похудения.,2001-11-15,2006-05-22,0.31,Pending
6,Обуховская,6768.0,647,Напитки,Подходит для использования в диетических программах для похудения.,2001-11-15,2006-05-22,0.31,Pending
7,Черешня,7496.0,691,Фрукты,"Отличается низким содержанием натрия, что делает его безопасным для гипертоников.",2007-01-05,2015-01-17,3.74,Sold
7,Черешня,7496.0,691,Фрукты,"Отличается низким содержанием натрия, что делает его безопасным для гипертоников.",2007-01-05,2015-01-17,3.74,Sold
