product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
1,Бастурма,191,30,Мясо,"Помогает поддерживать здоровую кожу, волосы и ногти благодаря содержанию биотина.",2016-01-19,2022-02-01,3.98,Returned
2,Гуляш,2732,28,Мясо,"Отличается устойчивостью к температурным изменениям, что облегчает хранение.",2008-05-08,2020-01-09,1.01,Cancelled
3,Ливерная колбаса,8561,756,Мясо,"Имеет длительный срок хранения, что позволяет всегда иметь его под рукой.",2017-01-08,2026-03-07,0.34,New
4,Укроп,2513,954,Овощи,Прошел тестирование на отсутствие ГМО и вредных химических соединений.,2006-03-06,2012-05-15,2.73,Temporarily Unavailable
5,Пакеты для пикников,1723,54,Товары для дома,Помогает поддерживать здоровый цвет лица и упругость кожи.,1992-04-15,2021-04-09,2.82,Cancelled
6,Каша из пшена,6535,204,Бакалея,"Помогает поддерживать нормальный уровень кортизола, гормона стресса.",2009-01-17,2015-02-01,5.01,Awaiting Payment
7,Пакеты для Нового года,7781,730,Товары для дома,Улучшает настроение и общее самочувствие благодаря содержанию триптофана.,2017-06-14,2027-07-04,3.62,Awaiting Payment
8,Морковь,2277,686,Овощи,Помогает поддерживать нормальный уровень глюкозы в крови.,2022-05-09,2026-02-22,3.05,Available for Pickup
9,Ласси,6599,118,Молочные продукты,Может использоваться в вегетарианской диете как источник белка.,2014-10-02,2029-04-18,1.8,Cancelled
10,Шахтинская,8531,505,Напитки,Может быть использован в качестве заменителя менее полезных продуктов.,1992-05-01,2003-06-26,0.05,Cancelled
11,Чиа семена,1084,841,Бакалея,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2020-02-14,2022-04-01,3.8,Delivered
12,Чебуреки,9156,277,Мясо,"Отличается высоким содержанием пробиотиков, улучшающих микрофлору кишечника.",2011-05-02,2018-01-17,0.64,Temporarily Unavailable
13,Пармезан,8602,138,Молочные продукты,"Отличается высоким содержанием олигосахаридов, полезных для здоровья кишечника и иммунной системы.",2019-02-02,2019-04-12,0.1,Shipping
14,Фанта,1737,526,Напитки,"Отличается высоким содержанием карнитина, необходимого для преобразования жиров в энергию.",2016-06-07,2030-02-15,1.08,New
15,Репа,2706,721,Овощи,Отличается легкостью в переваривании и усвоении организмом.,2007-01-06,2007-02-13,4.34,Out of Stock
16,Пахта,928,426,Молочные продукты,"Не содержит консервантов и красителей, что делает его экологически чистым продуктом.",2001-01-04,2019-01-10,2.07,Pending
17,Нектарин,4544,519,Фрукты,"Помогает поддерживать нормальный уровень глутатиона, главного антиоксиданта организма.",2020-01-02,2020-06-04,1.92,Sold
18,Клюква,291,146,Фрукты,"Отличается высоким содержанием пантотеновой кислоты, необходимой для метаболизма жиров, белков и углеводов.",2014-03-07,2021-06-18,2.3,On Backorder
19,Айва,4598,2,Фрукты,Отличается высокой питательной ценностью и помогает поддерживать здоровый образ жизни.,2003-01-20,2017-03-16,3.13,Temporarily Unavailable
20,Кондиционер для волос,9365,715,Товары для дома,"Отличается высоким содержанием меди, необходимой для синтеза коллагена и эластина.",2002-01-04,2003-03-06,3.27,Refunded
21,Молоко,3849,963,Молочные продукты,"Отличается высоким содержанием меди, необходимой для синтеза коллагена и эластина.",1999-03-10,2000-05-21,0.12,Cancelled
22,Тыквенные семечки,7769,194,Бакалея,Может использоваться в детском питании начиная с раннего возраста.,1996-01-09,2023-06-07,4.97,Returned
23,Молоко,6397,976,Молочные продукты,Помогает поддерживать нормальный уровень мочевой кислоты в организме.,2021-02-28,2024-06-02,2.32,On Backorder
24,Горох,3227,221,Овощи,Отличается способностью повышать общий тонус и работоспособность.,1994-03-01,2023-04-12,0.11,On Backorder
25,Кукуруза консервированная,4411,704,Бакалея,"Отличается высоким содержанием фтора, необходимого для здоровья зубов и костей.",2011-02-09,2020-04-06,3.7,Temporarily Unavailable
26,Ростовская-на-Дону,692,515,Напитки,"Отличается высоким содержанием бета-каротина, необходимого для здоровья глаз и кожи.",2016-01-06,2027-03-09,4.01,Available for Pickup
27,Сангрия безалкогольная,9764,327,Напитки,"Легко усваивается организмом, обеспечивая быстрое насыщение и энергию.",1991-01-10,2008-01-18,4.96,Cancelled
28,Сердце,508,895,Мясо,"Отличается высоким содержанием витамина E, необходимого для защиты клеточных мембран.",2006-04-08,2006-07-05,1.74,Available for Pickup
29,Ямс,8164,493,Овощи,"Помогает поддерживать нормальный уровень тиреоидных гормонов, регулирующих обмен веществ.",2018-01-15,2024-05-04,1.02,Refunded
30,Апельсин,659,929,Фрукты,"Отличается высоким содержанием витамина E, необходимого для защиты клеточных мембран.",2019-09-02,2022-03-02,1.64,Shipping
